accession_8k,ticker,filed_8k,period_of_report,fye_month,fy_xbrl,q_xbrl,fy_math,q_math,agreement,matched_accession_periodic,periodic_created,form_type_periodic,reason
0001018840-26-000006,ANF,2026-03-04T07:34:21-05:00,2026-01-31,1,2025,Q4,2026,Q4,false,0001018840-26-000012,2026-03-26T17:18:21-04:00,10-K,xbrl_math_disagree
0001841666-26-000021,APA,2026-04-14T17:13:56-04:00,,12,,,,,,,,,not_same_event_periodic
0001193125-24-047073,APLS,2024-02-27T07:30:53-05:00,,12,,,,,,,,,not_same_event_periodic
0001858681-23-000011,APO,2023-05-09T06:30:30-04:00,2023-03-31,12,2023,Q4,2023,Q1,false,0001858681-23-000017,2023-05-09T16:18:23-04:00,10-Q,proximity_rejected
0001858681-26-000016,APO,2026-04-01T16:30:31-04:00,,12,,,,,,,,,not_same_event_periodic
0001441683-24-000022,APPN,2024-03-29T16:02:40-04:00,,12,,,,,,,,,not_same_event_periodic
0001104659-23-022433,AR,2023-02-15T17:03:00-05:00,,12,,,,,,,,,not_same_event_periodic
0001104659-23-050452,AR,2023-04-26T17:26:24-04:00,,12,,,,,,,,,not_same_event_periodic
0001104659-23-084313,AR,2023-07-26T16:23:36-04:00,,12,,,,,,,,,not_same_event_periodic
0001104659-23-111458,AR,2023-10-25T16:45:29-04:00,,12,,,,,,,,,not_same_event_periodic
0001104659-24-024018,AR,2024-02-14T17:03:09-05:00,,12,,,,,,,,,not_same_event_periodic
0001104659-24-051278,AR,2024-04-24T17:10:26-04:00,,12,,,,,,,,,not_same_event_periodic
0001104659-24-084405,AR,2024-07-31T16:46:37-04:00,,12,,,,,,,,,not_same_event_periodic
0001104659-24-112650,AR,2024-10-30T16:57:24-04:00,,12,,,,,,,,,not_same_event_periodic
0001104659-25-012276,AR,2025-02-12T17:19:52-05:00,,12,,,,,,,,,not_same_event_periodic
0001104659-25-042687,AR,2025-04-30T17:27:47-04:00,,12,,,,,,,,,not_same_event_periodic
0001104659-25-072212,AR,2025-07-30T16:57:53-04:00,,12,,,,,,,,,not_same_event_periodic
0001104659-25-103768,AR,2025-10-29T16:51:37-04:00,,12,,,,,,,,,not_same_event_periodic
0001104659-26-013420,AR,2026-02-11T16:34:16-05:00,,12,,,,,,,,,not_same_event_periodic
0001628280-23-013721,ARES,2023-04-27T21:32:29-04:00,2023-03-31,12,2023,Q4,2023,Q1,false,0001628280-23-016241,2023-05-05T20:29:34-04:00,10-Q,proximity_rejected
0001628280-23-014859,ARWR,2023-05-02T16:09:44-04:00,,9,,,,,,,,,not_same_event_periodic
0001628280-23-027779,ARWR,2023-08-07T16:10:29-04:00,,9,,,,,,,,,not_same_event_periodic
0001628280-23-040222,ARWR,2023-11-29T16:10:57-05:00,,9,,,,,,,,,not_same_event_periodic
0001628280-24-022233,ARWR,2024-05-09T16:11:49-04:00,,9,,,,,,,,,not_same_event_periodic
0001628280-24-036113,ARWR,2024-08-08T16:04:42-04:00,,9,,,,,,,,,not_same_event_periodic
0001628280-24-049281,ARWR,2024-11-26T16:19:50-05:00,,9,,,,,,,,,not_same_event_periodic
0001628280-25-004637,ARWR,2025-02-10T16:03:29-05:00,,9,,,,,,,,,not_same_event_periodic
0001628280-25-024675,ARWR,2025-05-12T16:10:03-04:00,,9,,,,,,,,,not_same_event_periodic
0001628280-25-038867,ARWR,2025-08-07T16:07:19-04:00,,9,,,,,,,,,not_same_event_periodic
0001817358-23-000059,ASO,2023-03-16T08:05:28-04:00,2023-01-28,1,2022,Q4,2023,Q4,false,0001817358-23-000062,2023-03-16T16:05:05-04:00,10-K,xbrl_math_disagree
0001817358-23-000151,ASO,2023-06-06T08:06:39-04:00,2023-04-29,1,2023,Q1,2024,Q1,false,0001817358-23-000153,2023-06-06T16:14:02-04:00,10-Q,xbrl_math_disagree
0001817358-23-000184,ASO,2023-08-31T08:05:37-04:00,2023-07-29,1,2023,Q2,2024,Q2,false,0001817358-23-000186,2023-08-31T16:07:23-04:00,10-Q,xbrl_math_disagree
0001817358-23-000226,ASO,2023-11-30T08:09:40-05:00,2023-10-28,1,2023,Q3,2024,Q3,false,0001817358-23-000229,2023-11-30T16:05:53-05:00,10-Q,xbrl_math_disagree
0001817358-24-000035,ASO,2024-03-21T08:05:03-04:00,2024-02-03,1,2023,Q4,2024,Q4,false,0001817358-24-000042,2024-03-21T16:06:49-04:00,10-K,xbrl_math_disagree
0001817358-24-000119,ASO,2024-06-11T08:32:43-04:00,2024-05-04,1,2024,Q1,2025,Q1,false,0001817358-24-000124,2024-06-11T16:11:17-04:00,10-Q,xbrl_math_disagree
