ticker,accession,formType,filedAt,in_secapi,in_edgar,in_neo4j,gap_type
PX,0000950170-24-094357,10-Q,2024-08-09,NO,YES,YES,SOURCE_GAP_BUT_HAVE
PX,0000950170-24-056908,10-Q,2024-05-09,NO,YES,YES,SOURCE_GAP_BUT_HAVE
PX,0000950170-24-013368,8-K,2024-02-09,NO,YES,YES,SOURCE_GAP_BUT_HAVE
PX,0000950170-24-023113,8-K,2024-02-29,NO,YES,YES,SOURCE_GAP_BUT_HAVE
PX,0001193125-23-061388,8-K,2023-03-06,NO,YES,YES,SOURCE_GAP_BUT_HAVE
PX,0000950170-25-067201,10-Q,2025-05-08,NO,YES,YES,SOURCE_GAP_BUT_HAVE
PX,0000950170-24-107018,8-K,2024-09-17,NO,YES,YES,SOURCE_GAP_BUT_HAVE
PX,0001193125-26-081484,10-K,2026-02-27,NO,YES,NO,SOURCE_GAP
PX,0000950170-24-055658,8-K,2024-05-08,NO,YES,YES,SOURCE_GAP_BUT_HAVE
PX,0001193125-25-272253,10-Q,2025-11-07,NO,YES,NO,SOURCE_GAP
PX,0000950170-23-042347,10-Q,2023-08-14,NO,YES,YES,SOURCE_GAP_BUT_HAVE
PX,0000950170-25-056337,8-K,2025-04-21,NO,YES,YES,SOURCE_GAP_BUT_HAVE
PX,0000950170-25-105611,10-Q,2025-08-08,NO,YES,YES,SOURCE_GAP_BUT_HAVE
PX,0001193125-25-207726,8-K,2025-09-19,NO,YES,NO,SOURCE_GAP
PX,0001193125-23-170296,8-K,2023-06-20,NO,YES,YES,SOURCE_GAP_BUT_HAVE
PX,0001193125-23-145001,8-K,2023-05-15,NO,YES,YES,SOURCE_GAP_BUT_HAVE
RDFN,0001382821-25-000067,8-K,2025-05-09,YES,YES,NO,PIPELINE_LOST
RDFN,0001382821-25-000062,8-K,2025-05-06,YES,YES,NO,PIPELINE_LOST
RDFN,0001382821-25-000042,8-K,2025-02-27,YES,YES,NO,PIPELINE_LOST
RDFN,0001382821-24-000141,8-K,2024-08-06,YES,YES,NO,PIPELINE_LOST
RDFN,0001382821-24-000025,8-K,2024-02-27,YES,YES,NO,PIPELINE_LOST
RDFN,0001382821-25-000046,10-K,2025-02-27,YES,YES,NO,PIPELINE_LOST
RDFN,0001382821-24-000027,10-K,2024-02-27,YES,YES,NO,PIPELINE_LOST
RDFN,0001382821-25-000064,10-Q,2025-05-06,YES,YES,NO,PIPELINE_LOST
RDFN,0001382821-24-000143,10-Q,2024-08-06,YES,YES,NO,PIPELINE_LOST
REGN,0001104659-26-040661,8-K,2026-04-08,YES,NO,NO,PIPELINE_LOST
REVG,0000950103-23-013514,NT 10-Q,2023-09-12,YES,NO,NO,PIPELINE_LOST
RGEN,0001193125-25-044191,NT 10-K,2025-03-03,YES,NO,NO,PIPELINE_LOST
RGEN,0001193125-24-255987,NT 10-Q,2024-11-12,YES,NO,NO,PIPELINE_LOST
RKLB,0000950170-23-005613,NT 10-K,2023-03-01,YES,NO,NO,PIPELINE_LOST
SAIC,0001193125-26-149403,8-K/A,2026-04-09,YES,NO,NO,PIPELINE_LOST
SAIC,0001193125-26-148919,8-K,2026-04-09,YES,NO,NO,PIPELINE_LOST
SAIC,0001193125-26-149403,8-K/A,2026-04-09,YES,NO,NO,PIPELINE_LOST
SBGI,0000912752-23-000030,8-K,2023-05-24,YES,NO,NO,PIPELINE_LOST
SBGI,0000912752-23-000028,8-K,2023-05-19,YES,NO,NO,PIPELINE_LOST
SBGI,0000912752-23-000022,8-K,2023-05-03,YES,NO,NO,PIPELINE_LOST
SBGI,0001193125-23-089606,8-K,2023-04-03,YES,NO,NO,PIPELINE_LOST
SBGI,0000912752-23-000006,8-K,2023-02-22,YES,NO,NO,PIPELINE_LOST
SBGI,0000912752-23-000003,8-K,2023-02-10,YES,NO,NO,PIPELINE_LOST
SBGI,0000912752-23-000010,10-K,2023-03-01,YES,NO,NO,PIPELINE_LOST
SBGI,0000912752-23-000025,10-Q,2023-05-10,YES,NO,NO,PIPELINE_LOST
SEE,0001193125-26-148959,8-K,2026-04-09,YES,NO,NO,PIPELINE_LOST
SGRY,0001638833-25-000034,NT 10-K,2025-03-04,YES,NO,NO,PIPELINE_LOST
